Source Position,Source Feature,Business-Friendly Label,Repeat Number,Baseline PR AUC,Permuted PR AUC,PR AUC Decrease
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),16,0.07039154682743512,0.07164770152505355,-0.0012561546976184307
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),17,0.07039154682743512,0.0703367665212457,5.478030618942531e-05
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),18,0.07039154682743512,0.07172985360481475,-0.0013383067773796303
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),19,0.07039154682743512,0.07290518698545995,-0.002513640158024827
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),20,0.07039154682743512,0.07256728408949376,-0.0021757372620586357
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),21,0.07039154682743512,0.07031212468163017,7.942214580494711e-05
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),22,0.07039154682743512,0.07440576252566114,-0.00401421569822602
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),23,0.07039154682743512,0.07073455756474979,-0.00034301073731467235
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),24,0.07039154682743512,0.07089086557086116,-0.0004993187434260415
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),25,0.07039154682743512,0.06892545314081455,0.0014660936866205676
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),26,0.07039154682743512,0.07022769378168159,0.00016385304575353143
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),27,0.07039154682743512,0.06862392372169074,0.0017676231057443814
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),28,0.07039154682743512,0.07057245458427591,-0.0001809077568407924
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),29,0.07039154682743512,0.0717945214047852,-0.0014029745773500857
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),30,0.07039154682743512,0.07444956482898861,-0.00405801800155349
6,donor_age,Donor Age,1,0.07039154682743512,0.07120639215339673,-0.0008148453259616134
6,donor_age,Donor Age,2,0.07039154682743512,0.07557014659530238,-0.005178599767867262
6,donor_age,Donor Age,3,0.07039154682743512,0.06921572959353582,0.0011758172338992984
6,donor_age,Donor Age,4,0.07039154682743512,0.07289044782486645,-0.0024989009974313303
6,donor_age,Donor Age,5,0.07039154682743512,0.06978860485059965,0.0006029419768354694
6,donor_age,Donor Age,6,0.07039154682743512,0.07255686050149973,-0.0021653136740646117
6,donor_age,Donor Age,7,0.07039154682743512,0.07119909725815421,-0.0008075504307190895
6,donor_age,Donor Age,8,0.07039154682743512,0.07173433766825243,-0.001342790840817315
6,donor_age,Donor Age,9,0.07039154682743512,0.07216445995551068,-0.001772913128075565
6,donor_age,Donor Age,10,0.07039154682743512,0.07013725331857934,0.0002542935088557796
